Penalty Rate ($/car),Stations Built,CAPEX Spent ($),Energy Cost ($),Unmet Demand (cars),Objective Value ($),Model Behavior
$500,5,"$236,539","$3,733.95",57,"$268,772.95",Pay penalty — skip stations
"$1,000",6,"$280,724","$3,872.48",0,"$284,596.48",Full coverage achieved
"$5,000",6,"$280,724","$3,872.48",0,"$284,596.48",Full coverage achieved
"$10,000",6,"$280,724","$3,872.48",0,"$284,596.48",Full coverage achieved
"$50,000",6,"$280,724","$3,872.48",0,"$284,596.48",Full coverage achieved
"$100,000",6,"$280,724","$3,872.48",0,"$284,596.48",Full coverage achieved
"$150,000",6,"$280,724","$3,872.48",0,"$284,596.48",Full coverage achieved
